resource_uid,state_abbr,tract_id_alias,source_resource_id,resource_type,system_type,depth_m,n_wellsets_in_tract,res_temp_deg_c,lifetime_resource_per_wellset_mwh,dist_km,county_id
109459,ID,68440,DA064,hydrothermal,delineated area,15.0,11,67.0,856893.343,0.0,2026
109460,ID,68440,DA066,hydrothermal,delineated area,272.0,3,75.0,1007485.374,0.0,2026
109461,ID,68440,DA067,hydrothermal,delineated area,272.0,6,62.0,749976.344,0.0,2026
109462,ID,68440,ID444,hydrothermal,isolated system,272.0,1,42.0,2500000.0,0.0,2026
109463,ID,68440,ID449,hydrothermal,isolated system,272.0,1,76.0,5555555.556,0.0,2026
109464,ID,68440,ID452,hydrothermal,isolated system,272.0,1,67.0,4722222.222,0.0,2026
109465,ID,68440,ID454,hydrothermal,isolated system,272.0,1,84.0,6111111.111,0.0,2026
109466,ID,68440,ID460,hydrothermal,isolated system,272.0,1,64.0,4444444.444,0.0,2026
109467,ID,68440,ID461,hydrothermal,isolated system,272.0,1,34.0,1666666.667,0.0,2026
109468,ID,68440,ID462,hydrothermal,isolated system,272.0,1,63.0,4444444.444,0.0,2026
109469,ID,68440,ID463,hydrothermal,isolated system,272.0,1,79.0,5833333.333,0.0,2026
109470,ID,68440,ID464,hydrothermal,isolated system,272.0,1,88.0,6666666.667,0.0,2026
109471,ID,68440,ID465,hydrothermal,isolated system,272.0,1,66.0,4722222.222,0.0,2026
109472,ID,68440,ID467,hydrothermal,isolated system,272.0,1,49.0,3055555.556,0.0,2026
109473,ID,68440,ID468,hydrothermal,isolated system,272.0,1,45.0,2777777.778,0.0,2026
109474,ID,68440,ID469,hydrothermal,isolated system,272.0,1,49.0,3055555.556,0.0,2026
109475,ID,68440,ID472,hydrothermal,isolated system,272.0,1,40.0,2222222.222,0.0,2026
109476,ID,68440,ID475,hydrothermal,isolated system,272.0,1,50.0,3055555.556,0.0,2026
109477,ID,68440,Z102,hydrothermal,isolated system,272.0,1,85.0,7222222.222,0.0,2026
109478,ID,68440,Z113,hydrothermal,isolated system,272.0,1,95.0,9166666.667,0.0,2026
109479,ID,68440,Z114,hydrothermal,isolated system,272.0,1,95.0,9166666.667,0.0,2026
109480,ID,68440,Z115,hydrothermal,isolated system,272.0,1,95.0,9166666.667,0.0,2026
109481,ID,68440,Z117,hydrothermal,isolated system,272.0,1,100.0,10277777.778,0.0,2026
109482,ID,68440,Z129,hydrothermal,isolated system,272.0,1,115.0,14166666.667,0.0,2026
109487,ID,51123,ID259,hydrothermal,isolated system,581.0,1,73.0,5277777.778,0.0,2366
109484,ID,51123,ID254,hydrothermal,isolated system,581.0,1,62.0,4166666.667,0.0,2366
109489,ID,51123,ID262,hydrothermal,isolated system,581.0,1,56.0,3611111.111,0.0,2366
109486,ID,51123,ID258,hydrothermal,isolated system,581.0,1,50.0,3055555.556,0.0,2366
109490,ID,51123,Z101,hydrothermal,isolated system,581.0,1,85.0,7222222.222,0.0,2366
109488,ID,51123,ID261,hydrothermal,isolated system,581.0,1,49.0,3055555.556,0.0,2366
109485,ID,51123,ID256,hydrothermal,isolated system,581.0,1,66.0,4722222.222,0.0,2366
109499,ID,51123,ID257,hydrothermal,isolated system,80.0,1,59.0,3888888.889,5.91240826474422,2366
109500,ID,51123,ID260,hydrothermal,isolated system,80.0,1,84.0,6111111.111,9.0755606216635,2366
109501,ID,51123,Z103,hydrothermal,isolated system,80.0,1,90.0,8055555.556,8.94269647773708,2366
109496,ID,12837,Z111,hydrothermal,isolated system,678.0,1,95.0,9166666.667,0.0,2188
109495,ID,12837,DA048,hydrothermal,delineated area,236.0,41,45.0,512022.911,0.0,2188
109529,ID,9595,Z106,hydrothermal,isolated system,583.0,1,90.0,8055555.556,0.0,2244
